round,accuracy,f1,communication_cost_bytes,validation_loss
1,0.9540456170465372,0.9496336380811936,2608043880,0.10319166073782575
2,0.9713017685632332,0.9698083877988122,2608043880,0.07574635714602966
3,0.9772741527557021,0.976686397141249,2608043880,0.06682067823971415
1,0.9705403472386426,0.9689287563822744,2608043880,0.10319166073782575
2,0.9801239139661216,0.9797810433767185,2608043880,0.07574635714602966
1,0.9696424716965449,0.9678410432347067,2608043880,0.10319166073782575
2,0.97968778334549,0.9792943471524428,2608043880,0.07574635714602966
3,0.9823640301591553,0.9820336739291988,2608043880,0.06682067823971415
4,0.9849980280454347,0.9848580531272013,2608043880,0.058508654318898665
5,0.9865973140373413,0.9864923614371905,2608043880,0.055311147029472825
6,0.98790287344549,0.9878480138407598,2608043880,0.051560005200816605
7,0.9877808789724252,0.9877259243567075,2608043880,0.054076913765554
8,0.9887090912134994,0.9886383123715943,2608043880,0.0522738703961497
9,0.9887399822123568,0.9886927100514395,2608043880,0.05395799820176358
10,0.9891187085979022,0.9890897361796,2608043880,0.05263798198324771
11,0.9894682312131501,0.9893664142555878,2608043880,0.05345106031581963
12,0.9895598591392366,0.9894309122029107,2608043880,0.05695142367446048
13,0.988472582110459,0.9884698334367246,2608043880,0.05892543361042044
14,0.9896599687338629,0.9896046968340793,2608043880,0.053668949269558654
15,0.9892964711914937,0.9892396883091111,2608043880,0.056967484186609206
